fecha,codigo_cliente,terminal,transaccion,tipo_de_transaccion,codigo_forma_de_pago,importe_venta
2019-02-01 15:48:16,6008339500930384019,911,4349,1,5,0.5
2019-02-01 12:47:44,6008339500930384019,906,2492,1,5,1.25
2019-02-01 14:11:56,6008339500511044115,902,2915,1,5,1.25
2019-02-01 17:49:59,6008339500653705010,911,4390,1,5,1.75
2019-02-01 14:10:51,6008339500653705010,911,4321,1,5,1.75
2019-02-01 18:41:07,6008339500930384019,910,4315,1,5,1.75
2019-02-01 18:49:00,6008330079421202013,964,9006,1,3,0.8
2019-02-01 16:48:00,6008330051352904040,962,4421,1,3,0.6
2019-02-02 13:47:09,6008339500511044115,907,1145,1,5,0.75
2019-02-03 13:30:44,6008339500511044115,902,3272,1,5,0.5
2019-02-04 15:56:48,6008339500930384019,910,4857,1,5,0.5
2019-02-04 18:31:34,6008339500930384019,902,3497,1,5,1.25
2019-02-04 18:36:12,6008339500653705010,911,4911,1,5,1.5
2019-02-04 12:46:13,6008339500930384019,902,3418,1,5,1.5
2019-02-04 11:37:25,6008330012046165034,966,4686,1,2,2.25
2019-02-04 19:32:26,6008330046239596258,907,8937,1,2,0.9
2019-02-04 12:05:06,6008330111834305131,902,2609,1,2,0.9
2019-02-04 16:30:29,6008330012046165034,966,4755,1,2,0.95
2019-02-04 14:38:05,6008330048962088024,907,8807,1,2,1.3
2019-02-04 14:57:06,6008330111834305131,902,2656,1,2,0.3
2019-02-04 18:43:12,6008330051352904040,962,4498,1,3,0.55
2019-02-04 19:19:24,6008330079421202013,964,9215,1,3,0.85
2019-02-05 13:03:49,6008339500653705010,910,4919,1,5,0.5
2019-02-05 13:46:39,6008339500511044115,908,2133,1,5,0.5
2019-02-05 18:25:29,6008339500930384019,903,7544,1,5,1.0
2019-02-05 16:06:16,6008339500930384019,910,4957,1,5,1.0
2019-02-05 12:51:57,6008339500930384019,902,3600,1,5,1.25
2019-02-05 18:26:00,6008330051352904040,962,4513,1,3,1.5
2019-02-05 19:33:51,6008330046239596258,907,9254,1,2,0.9
2019-02-05 15:03:56,6008330111834305131,902,2797,1,2,0.3
2019-02-05 12:52:34,6008330111834305131,901,6113,1,2,2.1
2019-02-05 17:39:11,6008330079421202013,962,4511,1,3,0.1
2019-02-06 13:45:12,6008339500511044115,902,3790,1,5,0.5
2019-02-06 12:48:58,6008339500653705010,911,5001,1,5,0.5
2019-02-06 16:07:42,6008339500930384019,910,5061,1,5,0.75
2019-02-06 18:54:02,6008330051352904040,962,4535,1,3,1.0
2019-02-06 12:48:53,6008339500930384019,906,4096,1,5,1.25
2019-02-06 11:41:33,6008330012046165034,966,5054,1,2,0.8
2019-02-06 17:42:12,6008339500930384019,906,4257,1,5,0.25
2019-02-06 18:43:05,6008330079421202013,964,9335,1,3,0.25
2019-02-06 19:43:42,6008330046239596258,903,5221,1,2,1.1
2019-02-06 12:49:49,6008330166318600019,911,5287,1,2,0.35
2019-02-06 14:36:30,6008330166318600019,911,5321,1,2,1.65
2019-02-06 15:13:50,6008330048962088024,907,9431,1,2,1.9
2019-02-06 17:25:01,6008330166318600019,911,5380,1,2,1.9
2019-02-07 13:27:23,6008339500511044115,902,3970,1,5,0.5
2019-02-07 11:58:54,6008339500930384019,903,7661,1,5,0.5
2019-02-07 16:07:19,6008339500930384019,910,5190,1,5,1.0
2019-02-07 18:51:32,6008339500930384019,910,5235,1,5,1.5
2019-02-07 14:08:11,6008339500653705010,911,5087,1,5,1.5
2019-02-07 13:19:02,6008330048962088024,901,7554,1,2,0.4
2019-02-07 17:57:00,6008330079421202013,964,9377,1,3,0.95
2019-02-07 14:04:57,6008330111834305131,902,3098,1,2,0.3
2019-02-07 18:17:00,6008330051352904040,962,4556,1,3,0.85
2019-02-07 19:15:28,6008330046239596258,907,9749,1,2,0.1
2019-02-07 11:53:47,6008330111834305131,902,3063,1,2,0.1
2019-02-08 16:03:40,6008339500930384019,910,5322,1,5,0.75
2019-02-08 12:45:29,6008339500930384019,906,4722,1,5,1.0
2019-02-08 13:25:53,6008339500653705010,911,5168,1,5,1.0
2019-02-08 18:57:47,6008339500930384019,911,5244,1,5,1.75
2019-02-08 13:39:18,6008339500511044115,908,2482,1,5,0.25
2019-02-08 14:42:09,6008330079421202013,964,9409,1,3,0.25
2019-02-08 13:31:40,6008330048962088024,901,7898,1,2,0.9
2019-02-09 21:06:17,6008330101950319017,421,3571,4,8,1878.0
2019-02-09 13:32:18,6008339500511044115,909,148,1,5,0.5
2019-02-09 22:42:18,6008339500511044115,910,5691,1,5,1.25
2019-02-09 11:33:17,6008330012046165034,966,5666,1,2,1.35
2019-02-10 13:44:49,6008339500511044115,902,4570,1,5,0.5
2019-02-11 13:48:47,6008330101950319017,407,1686,4,8,480.0
2019-02-11 16:51:44,6008339500930384019,910,5889,1,5,0.5
2019-02-11 18:39:23,6008339500930384019,907,3922,1,5,0.5
2019-02-11 16:21:34,6008330166318600019,912,4719,1,2,1.0
2019-02-11 12:43:58,6008339500930384019,901,6492,1,5,1.25
2019-02-11 14:09:56,6008330048962088024,901,8671,1,2,0.9
2019-02-11 18:27:00,6008330051352904040,962,4643,1,3,1.35
2019-02-11 13:50:47,6008330166318600019,912,4625,1,2,1.35
2019-02-11 15:08:22,6008330111834305131,902,3803,1,2,1.3
2019-02-11 12:23:19,6008330111834305131,902,3769,1,2,1.7
2019-02-11 18:41:00,6008330079421202013,964,9620,1,3,0.2
2019-02-11 19:55:46,6008330046239596258,901,8824,1,2,1.4
2019-02-11 11:41:42,6008330012046165034,966,6123,1,2,1.15
2019-02-11 17:55:20,6008330166318600019,912,4770,1,2,1.15
2019-02-12 13:45:26,6008339500511044115,906,6087,1,5,0.5
2019-02-12 15:55:20,6008339500930384019,910,5975,1,5,0.5
2019-02-12 18:16:48,6008339500930384019,910,6012,1,5,1.0
2019-02-12 12:39:29,6008339500930384019,906,6060,1,5,1.25
2019-02-12 17:23:43,6008339500653705010,911,5774,1,5,1.75
2019-02-12 12:56:50,6008330111834305131,902,3903,1,2,2.0
2019-02-12 14:16:00,6008330079421202013,964,9660,1,3,0.6
2019-02-12 13:14:05,6008330048962088024,901,8923,1,2,0.4
2019-02-12 18:18:01,6008330051352904040,962,4663,1,3,1.2
2019-02-12 17:01:50,6008330012046165034,966,6319,1,2,0.15
2019-02-12 15:02:45,6008330111834305131,902,3936,1,2,0.1
2019-02-13 15:50:56,6008339500930384019,910,6097,1,5,0.5
2019-02-13 17:48:15,6008339500930384019,910,6139,1,5,0.75
2019-02-13 13:30:49,6008330048962088024,907,1233,1,2,1.0
2019-02-13 12:46:42,6008339500930384019,906,6375,1,5,1.5
2019-02-13 12:56:08,6008330012046165034,966,6449,1,2,0.9
2019-02-13 17:51:29,6008330166318600019,912,5684,1,2,3.0
2019-02-14 12:48:23,6008330101950319017,313,9590,4,8,343.84
2019-02-14 12:45:56,6008339500653705010,911,5882,1,5,0.5
2019-02-14 12:13:24,6008339500930384019,906,6705,1,5,0.5
2019-02-14 18:29:00,6008330051352904040,962,4705,1,3,0.75
2019-02-14 18:49:48,6008339500930384019,910,6294,1,5,1.5
2019-02-14 17:18:51,6008339500653705010,911,5944,1,5,1.75
2019-02-14 19:13:35,6008330046239596258,907,1735,1,2,0.8
2019-02-14 13:17:36,6008330048962088024,907,1557,1,2,0.9
2019-02-14 11:41:33,6008330012046165034,966,6615,1,2,0.85
2019-02-15 16:09:46,6008339500930384019,910,6389,1,5,0.5
2019-02-15 17:50:07,6008339500653705010,910,6411,1,5,1.0
2019-02-15 13:23:03,6008339500653705010,911,5995,1,5,1.25
2019-02-15 18:59:23,6008339500930384019,910,6441,1,5,1.5
2019-02-15 13:13:32,6008339500930384019,902,5466,1,5,1.5
2019-02-15 18:25:00,6008330079421202013,964,9845,1,3,1.5
2019-02-15 12:38:17,6008330012046165034,966,6843,1,2,0.45
2019-02-15 17:43:21,6008330051352904040,962,4742,1,3,0.3
2019-02-16 18:15:28,6008339500930384019,914,1373,1,5,0.25
2019-02-16 13:36:14,6008330048962088024,907,2282,1,2,0.9
2019-02-18 17:53:25,6008330101950319017,420,316,4,8,943.8
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,175.34
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,89.38
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,680.63
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,75.63
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,233.75
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,68.75
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,116.88
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,1139.7
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,1078.13
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,55.0
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,110.0
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,110.0
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,151.25
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,294.72
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,240.63
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,605.02
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,1396.01
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,1223.75
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,192.5
2019-02-18 16:44:31,6008330101950319017,421,3580,4,8,151.25
2019-02-18 17:33:11,6008330101950319017,420,314,4,8,166.37
2019-02-18 18:12:20,6008330101950319017,420,321,4,8,1165.0
2019-02-18 18:12:20,6008330101950319017,420,321,4,8,776.0
2019-02-18 18:12:20,6008330101950319017,420,321,4,8,498.0
2019-02-18 18:12:20,6008330101950319017,420,321,4,8,2990.0
2019-02-18 18:12:20,6008330101950319017,420,321,4,8,420.0
2019-02-18 18:12:20,6008330101950319017,420,321,4,8,543.0
2019-02-18 18:12:20,6008330101950319017,420,321,4,8,503.0
2019-02-18 15:50:30,6008339500930384019,910,6934,1,5,0.5
2019-02-18 19:15:27,6008330046239596258,903,6657,1,2,0.5
2019-02-18 18:52:18,6008330051352904040,962,4822,1,3,0.75
2019-02-18 18:26:24,6008339500930384019,907,6049,1,5,1.25
2019-02-18 12:44:46,6008339500930384019,902,6038,1,5,1.5
2019-02-18 15:08:58,6008330111834305131,902,4855,1,2,0.4
2019-02-18 11:44:15,6008330166318600019,912,7043,1,2,1.2
2019-02-18 13:24:48,6008330048962088024,907,2551,1,2,0.7
2019-02-18 11:18:23,6008330012046165034,966,7436,1,2,0.45
2019-02-18 18:53:15,6008330079421202013,964,49,1,3,1.35
2019-02-18 19:36:30,6008330166318600019,912,7322,1,2,0.35
2019-02-18 14:53:53,6008330166318600019,911,7690,1,2,0.35
2019-02-18 15:57:59,6008330166318600019,912,7196,1,2,0.05
2019-02-18 13:12:07,6008330046239596258,907,2545,1,2,2.2
2019-02-18 12:53:42,6008330111834305131,902,4828,1,2,2.6
2019-02-18 14:15:22,6008339500653705010,911,6494,1,5,2.05
2019-02-18 18:36:38,6008339500653705010,911,6531,1,5,2.05
2019-02-19 12:47:17,6008339500930384019,906,8483,1,5,0.75
2019-02-19 17:26:28,6008339500653705010,911,6585,1,5,1.75
2019-02-19 10:17:00,6008330079421202013,964,61,1,3,0.8
2019-02-19 15:42:09,6008339500930384019,914,1528,1,5,0.25
2019-02-19 18:23:15,6008330051352904040,962,4845,1,3,1.6
2019-02-19 19:12:02,6008330046239596258,907,2978,1,2,0.2
2019-02-19 12:44:34,6008330111834305131,902,4951,1,2,1.4
2019-02-20 15:52:53,6008339500930384019,910,7135,1,5,0.5
2019-02-20 17:47:49,6008339500930384019,911,6652,1,5,0.75
2019-02-20 17:26:00,6008330051352904040,960,183,1,3,0.75
2019-02-20 12:50:21,6008339500930384019,906,8774,1,5,1.25
2019-02-20 19:27:37,6008330046239596258,907,3195,1,2,1.1
2019-02-20 11:23:36,6008330012046165034,966,7741,1,2,1.1
2019-02-20 13:17:51,6008330048962088024,907,3086,1,2,0.9
2019-02-20 15:37:38,6008330111834305131,902,5117,1,2,1.3
2019-02-20 18:01:05,6008330012046165034,966,7826,1,2,1.7
2019-02-20 13:24:21,6008330046239596258,902,9728,1,2,0.2
2019-02-21 14:04:29,6008330111834305131,902,5247,1,2,0.5
2019-02-21 14:42:13,6008339500930384019,910,7239,1,5,0.75
2019-02-21 18:25:00,6008330051352904040,962,4869,1,3,0.75
2019-02-21 19:24:17,6008330046239596258,905,8584,1,2,1.0
2019-02-21 12:34:10,6008339500930384019,902,6607,1,5,1.25
2019-02-21 13:05:09,6008330048962088024,903,6960,1,2,0.8
2019-02-21 16:01:44,6008330166318600019,912,8426,1,2,0.25
2019-02-21 11:38:36,6008330166318600019,912,8250,1,2,0.9
2019-02-21 17:49:59,6008339500653705010,911,6719,1,5,0.3
2019-02-21 11:45:32,6008330111834305131,902,5206,1,2,0.2
2019-02-21 18:23:28,6008330079421202013,964,199,1,3,1.15
2019-02-21 17:56:52,6008330166318600019,912,8476,1,2,1.9
2019-02-22 16:07:20,6008339500930384019,910,7348,1,5,0.5
2019-02-22 18:06:08,6008339500930384019,910,7381,1,5,0.75
2019-02-22 13:14:52,6008339500930384019,906,9408,1,5,1.5
2019-02-22 13:27:06,6008330048962088024,903,7116,1,2,0.3
2019-02-22 17:49:00,6008330051352904040,962,4893,1,3,0.85
2019-02-23 13:22:58,6008339500511044115,908,4371,1,5,0.25
2019-02-24 13:19:40,6008339500511044115,901,8601,1,5,0.5
2019-02-25 16:07:59,6008339500930384019,910,7856,1,5,0.75
2019-02-25 18:26:01,6008339500930384019,910,7874,1,5,1.0
2019-02-25 19:35:48,6008330046239596258,906,297,1,2,1.0
2019-02-25 12:48:03,6008339500930384019,902,7400,1,5,1.25
2019-02-25 17:30:00,6008330079421202013,962,4941,1,3,1.25
2019-02-25 12:35:49,6008330111834305131,902,5839,1,2,2.0
2019-02-25 13:14:52,6008339500511044115,908,4598,1,5,0.25
2019-02-25 14:59:45,6008330111834305131,902,5882,1,2,0.7
2019-02-25 18:38:43,6008330051352904040,962,4944,1,3,0.65
2019-02-25 14:18:09,6008330048962088024,901,2504,1,2,1.3
2019-02-25 11:03:00,6008330012046165034,961,6243,1,2,0.55
2019-02-26 17:42:35,6008339500930384019,911,7199,1,5,0.75
2019-02-26 12:33:30,6008339500930384019,906,683,1,5,0.75
2019-02-26 15:47:46,6008339500930384019,910,7938,1,5,1.0
2019-02-26 15:14:09,6008330111834305131,902,6019,1,2,0.8
2019-02-26 19:17:17,6008339500930384019,906,901,1,5,0.25
2019-02-26 19:07:10,6008330046239596258,907,4420,1,2,0.4
2019-02-26 12:45:15,6008330111834305131,901,7638,1,2,1.8
2019-02-26 18:26:00,6008330051352904040,962,4968,1,3,1.15
2019-02-26 18:26:43,6008330079421202013,986,1070,1,3,0.05
2019-02-26 11:40:46,6008330012046165034,961,6298,1,2,2.2
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-110.0
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-1078.13
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-1139.7
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-75.63
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-55.0
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-240.63
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-294.72
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-233.75
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-192.5
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-89.38
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-151.25
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-1396.01
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-1223.75
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-175.34
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-110.0
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-680.63
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-605.02
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-68.75
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-151.25
2019-02-27 15:00:08,6008330101950319017,421,3694,5,8,-116.88
2019-02-27 14:59:17,6008330101950319017,421,3693,5,8,-503.0
2019-02-27 14:59:17,6008330101950319017,421,3693,5,8,-498.0
2019-02-27 14:59:17,6008330101950319017,421,3693,5,8,-543.0
2019-02-27 14:59:17,6008330101950319017,421,3693,5,8,-2990.0
2019-02-27 14:59:17,6008330101950319017,421,3693,5,8,-420.0
2019-02-27 14:59:17,6008330101950319017,421,3693,5,8,-776.0
2019-02-27 14:59:17,6008330101950319017,421,3693,5,8,-1165.0
2019-02-27 17:52:52,6008339500930384019,910,8085,1,5,0.5
2019-02-27 12:32:54,6008339500930384019,906,1006,1,5,1.0
2019-02-27 16:08:08,6008339500930384019,910,8060,1,5,1.25
2019-02-27 19:06:01,6008339500511044115,908,4819,1,5,1.75
2019-02-27 18:15:16,6008339500653705010,911,7290,1,5,1.75
2019-02-27 14:00:45,6008330048962088024,903,7771,1,2,1.2
2019-02-27 15:44:35,6008330166318600019,914,2661,1,2,0.65
2019-02-27 15:03:00,6008330012046165034,966,9112,1,2,0.55
2019-02-27 17:29:26,6008330079421202013,964,527,1,3,1.45
2019-02-28 19:33:56,6008339500930384019,911,7408,1,5,0.5
2019-02-28 14:21:31,6008330048962088024,901,3231,1,2,0.5
2019-02-28 17:52:22,6008339500930384019,910,8217,1,5,1.0
2019-02-28 12:34:52,6008339500930384019,906,1333,1,5,1.0
2019-02-28 13:52:13,6008339500653705010,911,7331,1,5,1.75
2019-02-28 11:53:02,6008330012046165034,961,6402,1,2,0.8
2019-02-28 16:22:36,6008330166318600019,914,2781,1,2,1.35
2019-02-28 14:42:04,6008330166318600019,912,423,1,2,1.7
2019-02-28 18:42:02,6008330051352904040,962,5006,1,3,0.05
2019-02-28 15:42:44,6008339500930384019,906,1425,1,5,2.05
2019-02-28 17:36:30,6008339500653705010,911,7391,1,5,2.05
2019-03-01 12:03:52,6008330101950319017,421,3713,4,8,503.0
2019-03-01 12:03:52,6008330101950319017,421,3713,4,8,498.0
2019-03-01 12:03:52,6008330101950319017,421,3713,4,8,543.0
2019-03-01 12:03:52,6008330101950319017,421,3713,4,8,776.0
2019-03-01 12:03:52,6008330101950319017,421,3713,4,8,1165.0
2019-03-01 12:03:52,6008330101950319017,421,3713,4,8,420.0
2019-03-01 12:03:52,6008330101950319017,421,3713,4,8,2990.0
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,1078.13
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,116.88
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,294.72
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,75.63
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,192.5
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,1396.01
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,89.38
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,68.75
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,175.34
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,1223.75
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,55.0
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,680.63
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,240.63
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,605.02
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,302.5
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,1139.7
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,233.75
2019-03-01 12:57:11,6008330101950319017,421,3716,4,8,220.0
2019-03-01 13:50:11,6008339500511044115,908,5009,1,5,0.5
2019-03-01 14:20:00,6008330079421202013,962,5019,1,3,0.75
2019-03-01 18:22:07,6008339500930384019,910,8357,1,5,1.0
2019-03-01 16:06:17,6008339500930384019,910,8326,1,5,1.25
2019-03-01 14:03:40,6008339500653705010,911,7441,1,5,1.75
2019-03-01 13:36:04,6008339500930384019,906,1702,1,5,0.25
2019-03-03 18:57:28,6008339500930384019,911,7748,1,5,0.75
2019-03-03 14:12:47,6008339500511044115,902,8610,1,5,1.25
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-116.88
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-89.38
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-1139.7
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-220.0
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-240.63
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-175.34
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-680.63
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-294.72
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-192.5
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-233.75
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-75.63
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-1396.01
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-68.75
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-302.5
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-605.02
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-1078.13
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-1223.75
2019-03-04 13:53:26,6008330101950319017,420,577,5,8,-55.0
2019-03-04 18:41:30,6008339500930384019,906,2884,1,5,0.5
2019-03-04 12:44:36,6008339500930384019,906,2687,1,5,1.5
2019-03-04 19:31:35,6008330046239596258,907,5978,1,2,0.9
2019-03-04 18:50:00,6008330079421202013,964,783,1,3,0.9
2019-03-04 13:00:14,6008330166318600019,912,1254,1,2,0.95
2019-03-04 10:22:00,6008330012046165034,966,3,1,2,1.35
2019-03-04 11:27:52,6008330166318600019,912,1210,1,2,0.85
2019-03-04 14:46:14,6008330166318600019,911,386,1,2,1.6
2019-03-04 16:20:30,6008330166318600019,912,1376,1,2,1.15
2019-03-04 13:27:55,6008330048962088024,902,677,1,2,0.1
2019-03-05 13:24:55,6008339500511044115,902,8941,1,5,0.25
2019-03-05 14:47:00,6008330111834305131,901,8021,1,2,0.4
2019-03-05 18:15:00,6008330051352904040,962,5106,1,3,1.2
2019-03-05 12:30:00,6008330111834305131,902,7030,1,2,1.3
2019-03-05 19:41:58,6008330046239596258,907,6184,1,2,2.4
2019-03-05 18:22:00,6008330079421202013,962,5107,1,3,2.05
2019-03-06 13:53:27,6008339500511044115,908,5627,1,5,0.5
