MNP Estadística de Nacimientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacimientos (Cifras anuales),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Por lugar de inscripción y sexo. Total nacional y comunidades autónomas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Nacimientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941
Total Nacional,393181,410583,420290,427595,425715,454648,471999,486575,494997,519779,492527,482957,466371,454591,441881,418846,406380,397632,380130,365193,369035,362626,363469,370148,385786,396747,395989,401425,408434,418919,426782,438750,456298,473281,485352,515706,533008,571018,601992,636892,656357,677456,669378,688711,672963,672405,672092,663667,666568,667311,680125,669919,676361,697697,671520,658816,654616,663375,654474,653216,646784,608121,598970,577886,589188,593019,567474,565378,601759,642041,588732,585381,,,,,,202478,211087,216496,220843,219056,234386,243292,250727,255954,268377,253895,249184,240201,234875,227584,215995,208787,205596,195742,188997,190112,186698,187399,191055,199406,204727,204878,207495,211201,216707,221297,227176,236229,246051,251585,268639,278175,296224,310911,329779,339101,349232,346386,353727,346075,345963,345851,341401,342713,342726,349315,344358,347027,358304,345299,338813,336867,341715,336105,334511,331588,311684,307544,295932,302746,305899,291782,290300,308649,329655,302341,300015,,,,,,190703,199496,203794,206752,206659,220262,228707,235848,239043,251402,238632,233773,226170,219716,214297,202851,197593,192036,184388,176196,178923,175928,176070,179093,186380,192020,191111,193930,197233,202212,205485,211574,220069,227230,233767,247067,254833,274794,291081,307113,317256,328224,322992,334984,326888,326442,326241,322266,323855,324585,330810,325561,329334,339393,326221,320003,317749,321660,318369,318705,315196,296437,291426,281954,286442,287120,275692,275078,293110,312386,286391,285366,,,,,
01 Andalucía,75164,79677,81101,82660,81844,86714,89955,92604,94955,100681,96387,95755,92285,89516,86621,82290,81464,81032,79135,76969,78570,77598,79610,81808,86484,88220,88493,89436,89759,92343,93759,95317,97731,102276,105136,109639,110623,116577,119068,123614,124987,127248,124911,128229,127478,128877,130253,131689,134858,136775,142156,139829,144219,153833,146757,141630,143896,146965,143685,147865,146646,135628,136014,130045,136905,138062,130171,119731,137214,152065,137749,131085,149113,139342,148265,125191,116879,38647,41117,41875,42419,42174,44689,46137,47722,48935,52257,49661,49465,47467,46204,44579,42288,41750,42086,41041,39826,40505,39968,41086,42242,44854,45550,46098,46377,46465,47886,48550,49151,50549,52798,54443,56620,57192,60692,61772,63871,64500,65589,64632,65814,65654,66118,67135,67659,69254,70163,73055,72152,73882,79033,75408,72879,74222,75742,73656,75811,75156,69500,69825,66820,70589,71543,66907,61421,70668,78106,70719,66912,76567,71557,76731,64741,60364,36517,38560,39226,40241,39670,42025,43818,44882,46020,48424,46726,46290,44818,43312,42042,40002,39714,38946,38094,37143,38065,37630,38524,39566,41630,42670,42395,43059,43294,44457,45209,46166,47182,49478,50693,53019,53431,55885,57296,59743,60487,61659,60279,62415,61824,62759,63118,64030,65604,66612,69101,67677,70337,74800,71349,68751,69674,71223,70029,72054,71490,66128,66189,63225,66316,66519,63264,58310,66546,73959,67030,64173,72546,67785,71534,60450,56515
02 Aragón,10518,10919,11335,11612,11658,11964,12632,12949,13078,13663,12912,12325,11677,11489,11050,10404,10393,9956,9608,9200,9429,9288,9325,9658,9574,10074,9812,9700,10138,10584,10686,11173,11684,12130,12237,13367,13778,14998,15598,16469,17184,17725,17658,17587,17441,17893,17597,17435,17582,17811,18567,18762,19106,20053,19730,20027,19803,20245,19694,19839,20401,18974,19365,18188,18974,18970,18525,18918,20127,21001,19845,20466,20892,20266,20322,19017,18407,5393,5587,5784,6050,5988,6118,6465,6612,6786,7097,6644,6382,6055,5901,5706,5363,5312,5129,4988,4855,4813,4719,4814,4900,4929,5108,4968,5088,5331,5432,5445,5695,6069,6371,6333,6930,7265,7811,7965,8724,8809,9190,9117,9140,8998,9218,9073,9047,9198,9111,9417,9612,9821,10371,10195,10453,10126,10285,10169,10315,10518,9558,9930,9255,9725,9800,9532,9708,10400,10814,10210,10681,10727,10459,10571,9963,9479,5125,5332,5551,5562,5670,5846,6167,6337,6292,6566,6268,5943,5622,5588,5344,5041,5081,4827,4620,4345,4616,4569,4511,4758,4645,4966,4844,4612,4807,5152,5241,5478,5615,5759,5904,6437,6513,7187,7633,7745,8375,8535,8541,8447,8443,8675,8524,8388,8384,8700,9150,9150,9285,9682,9535,9574,9677,9960,9525,9524,9883,9416,9435,8933,9249,9170,8993,9210,9727,10187,9635,9785,10165,9807,9751,9054,8928
03  Principado deAsturias,6111,6446,6560,6683,6773,7699,7898,7896,8307,8332,7956,7703,7565,7324,7200,6798,6937,6824,6628,6413,6563,6592,6645,6698,7038,7530,7775,7824,8004,8600,9474,10292,10701,11288,11870,12414,13367,14448,15384,15792,17331,17899,17358,17912,17149,17426,17419,16540,16687,16396,17006,16181,16844,17671,17834,18318,18814,19621,19789,19913,19375,19233,18271,17517,17388,17381,16284,16169,17217,17606,16670,17519,17230,15990,15714,12734,13205,3175,3240,3437,3464,3460,4005,4100,4013,4270,4196,4102,3981,3894,3810,3693,3445,3634,3552,3489,3274,3438,3356,3407,3377,3698,3846,4023,3991,4093,4472,4890,5440,5567,5825,6176,6396,6836,7471,7887,8193,8966,9406,9016,9108,8677,8891,9021,8583,8659,8408,8664,8332,8612,9004,9077,9361,9790,10096,10090,9949,9981,9674,9273,8875,8937,8966,8355,8454,8620,9051,8547,9025,8854,8252,7906,6524,6853,2936,3206,3123,3219,3313,3694,3798,3883,4037,4136,3854,3722,3671,3514,3507,3353,3303,3272,3139,3139,3125,3236,3238,3321,3340,3684,3752,3833,3911,4128,4584,4852,5134,5463,5694,6018,6531,6977,7497,7599,8365,8493,8342,8804,8472,8535,8398,7957,8028,7988,8342,7849,8232,8667,8757,8957,9024,9525,9699,9964,9394,9559,8998,8642,8451,8415,7929,7715,8597,8555,8123,8494,8376,7738,7808,6210,6352
04  IllesBalears,10228,10551,10562,10627,10476,10957,11222,11901,11988,12640,11871,11639,10884,10717,10605,10364,9841,9443,8829,8281,8147,7781,7661,7637,7856,8414,8540,8739,8768,8656,8560,8691,8853,8800,8882,9056,9349,9808,10006,9923,10279,11036,11024,12393,12256,11895,11855,10823,10474,10091,10170,9811,9412,9422,8679,7987,7610,7595,7199,7104,6990,6525,6424,6216,6097,6364,5840,5949,6088,6856,6448,6567,6564,6607,6966,6069,5926,5245,5402,5409,5550,5364,5562,5821,6071,6098,6580,6114,6004,5702,5493,5390,5345,4989,4865,4539,4323,4227,3991,3903,3962,3978,4334,4467,4564,4553,4503,4329,4539,4680,4684,4785,4899,4805,4997,5194,5118,5302,5751,5827,6386,6316,6140,6163,5588,5369,5198,5304,5104,4848,4857,4470,4118,3905,3921,3707,3669,3513,3362,3280,3243,3142,3327,2999,3115,3124,3493,3320,3372,3434,3376,3540,3167,3050,4983,5149,5153,5077,5112,5395,5401,5830,5890,6060,5757,5635,5182,5224,5215,5019,4852,4578,4290,3958,3920,3790,3758,3675,3878,4080,4073,4175,4215,4153,4231,4152,4173,4116,4097,4157,4544,4811,4812,4805,4977,5285,5197,6007,5940,5755,5692,5235,5105,4893,4866,4707,4564,4565,4209,3869,3705,3674,3492,3435,3477,3163,3144,2973,2955,3037,2841,2834,2964,3363,3128,3195,3130,3231,3426,2902,2876
05 Canarias,15680,16059,16081,16316,15779,17135,17352,18223,18891,20569,19667,20566,20075,19073,19145,19341,19160,18847,18666,17285,17206,16941,16768,16938,17520,18242,18106,18580,19207,19856,19558,19645,19864,20780,21582,22785,23861,24954,25662,25963,26270,27507,27405,29639,29989,29200,29992,29355,28645,27857,28419,27903,28160,28541,27094,25962,25360,24252,22903,22718,22701,22554,23060,22009,21663,21113,21353,20977,21188,21262,20931,22079,23568,24254,22841,22092,19622,8071,8186,8152,8408,8050,8851,8952,9369,9750,10603,10163,10581,10356,9800,9941,10100,9851,9776,9592,8983,8677,8728,8626,8759,8991,9485,9319,9629,10050,10214,10350,10210,10183,10748,11164,12009,12646,12951,13180,13257,13643,14142,14287,15214,15040,14731,15242,15121,14723,14375,14699,14291,14432,14486,13953,13381,12992,12492,11724,11671,11739,11601,12054,11201,11117,11023,10927,10865,10965,10974,10758,11258,12130,12550,11702,11520,10180,7609,7873,7929,7908,7729,8284,8400,8854,9141,9966,9504,9985,9719,9273,9204,9241,9309,9071,9074,8302,8529,8213,8142,8179,8529,8757,8787,8951,9157,9642,9208,9435,9681,10032,10418,10776,11215,12003,12482,12706,12627,13365,13118,14425,14949,14469,14750,14234,13922,13482,13720,13612,13728,14055,13141,12581,12368,11760,11179,11047,10962,10953,11006,10808,10546,10090,10426,10112,10223,10288,10173,10821,11438,11704,11139,10572,9442
06 Cantabria,4079,4234,4345,4535,4749,5002,5279,5483,5544,5761,5286,5111,5190,4961,4786,4521,4262,4277,4012,3827,3905,3863,3763,3855,4127,4339,4356,4572,4603,4995,5191,5437,5767,6129,6588,6992,7531,7982,8259,8779,8835,9094,8804,8566,8618,8411,8334,8659,8615,8575,8941,8867,8772,8787,8939,8927,9147,9323,9578,9496,9737,9119,8914,8832,8891,9021,8750,8926,8996,9309,8693,8587,8412,7911,7880,7401,6921,2105,2201,2153,2352,2459,2617,2757,2802,2864,2963,2702,2632,2642,2520,2452,2319,2162,2189,2031,2011,2079,2003,1928,2018,2124,2332,2284,2362,2372,2565,2682,2855,3010,3200,3435,3637,3947,4181,4271,4508,4574,4642,4566,4449,4437,4308,4318,4481,4395,4522,4569,4572,4456,4496,4586,4613,4782,4717,4871,4867,5027,4759,4644,4463,4444,4713,4579,4614,4611,4802,4464,4430,4335,4028,4129,3890,3558,1974,2033,2192,2183,2290,2385,2522,2681,2680,2798,2584,2479,2548,2441,2334,2202,2100,2088,1981,1816,1826,1860,1835,1837,2003,2007,2072,2210,2231,2430,2509,2582,2757,2929,3153,3355,3584,3801,3988,4271,4261,4452,4238,4117,4181,4103,4016,4178,4220,4053,4372,4295,4316,4291,4353,4314,4365,4606,4707,4629,4710,4360,4270,4369,4447,4308,4171,4312,4385,4507,4229,4157,4077,3883,3751,3511,3363
07 Castilla y León,15474,16620,17398,17873,17840,19088,19870,20484,20468,21366,20060,19786,19391,18923,18628,18121,17611,17931,17345,17137,18077,17786,18008,18477,19418,20032,20484,21197,22015,22627,23837,24870,26322,27663,28526,30209,31009,33019,34592,36461,36805,38261,36931,38788,38763,39895,40962,41815,43975,44830,46343,47301,49832,53138,54643,56450,58049,61338,61586,61365,63707,63876,64263,63747,65388,66236,64670,68303,70274,73275,66218,67588,73845,71980,72677,66917,65717,7915,8613,8896,9370,9291,9894,10275,10594,10541,10988,10444,10233,10012,9746,9428,9415,8960,9301,8834,8834,9301,9109,9219,9660,9983,10398,10738,10889,11298,11803,12254,12930,13747,14394,14747,16195,16488,17256,17841,18943,18988,19610,18966,19966,19981,20455,21209,21557,22706,22996,23672,24217,25534,27163,28192,28830,30094,31572,31589,31292,32522,32941,32721,32629,33568,34157,33365,34938,35835,37639,34085,34390,37730,37108,37326,34546,34130,7559,8007,8502,8503,8549,9194,9595,9890,9927,10378,9616,9553,9379,9177,9200,8706,8651,8630,8511,8303,8776,8677,8789,8817,9435,9634,9746,10308,10717,10824,11583,11940,12575,13269,13779,14014,14521,15763,16751,17518,17817,18651,17965,18822,18782,19440,19753,20258,21269,21834,22671,23084,24298,25975,26451,27620,27955,29766,29997,30073,31185,30935,31542,31118,31820,32079,31305,33365,34439,35636,32133,33198,36115,34872,35351,32371,31587
